22:38:17 [ServerInfo] CashShop loaded successfully
22:38:17 [ServerInfo] ChaosMix loaded successfully
22:38:17 [ServerInfo] Character loaded successfully
22:38:17 [ServerInfo] Command loaded successfully
22:38:17 [ServerInfo] Common loaded successfully
22:38:18 [ServerInfo] Custom loaded successfully
22:38:18 [ Crywolf ] State (0) -> NONE
22:38:18 [ Crywolf ] SetState - StateInfo : Occupation/0, State/0
22:38:18 [ServerInfo] Event loaded successfully
22:38:18 [ServerInfo] EventItemBag loaded successfully
22:38:18 [ServerInfo] Hack loaded successfully
22:38:18 [ServerInfo] Item loaded successfully
22:38:18 [ServerInfo] Monster loaded successfully
22:38:18 [ServerInfo] Move loaded successfully
22:38:18 [ServerInfo] Quest loaded successfully
22:38:18 [ServerInfo] Shop loaded successfully
22:38:18 [ServerInfo] Skill loaded successfully
22:38:18 [ServerInfo] Util loaded successfully
22:38:18 [Blood Castle] (1) SetState BLANK
22:38:18 [Blood Castle] (2) SetState BLANK
22:38:18 [Blood Castle] (3) SetState BLANK
22:38:18 [Blood Castle] (4) SetState BLANK
22:38:18 [Blood Castle] (5) SetState BLANK
22:38:18 [Blood Castle] (6) SetState BLANK
22:38:18 [Blood Castle] (7) SetState BLANK
22:38:18 [Blood Castle] (8) SetState BLANK
22:38:18 [Castle Deep] Sync Start Time. [321] min remain
22:38:18 [Castle Deep] SetState EMPTY
22:38:18 [Chaos Castle] (1) SetState BLANK
22:38:18 [Chaos Castle] (2) SetState BLANK
22:38:18 [Chaos Castle] (3) SetState BLANK
22:38:18 [Chaos Castle] (4) SetState BLANK
22:38:18 [Chaos Castle] (5) SetState BLANK
22:38:18 [Chaos Castle] (6) SetState BLANK
22:38:18 [Chaos Castle] (7) SetState BLANK
22:38:18 [Devil Square] (1) SetState BLANK
22:38:18 [Devil Square] (2) SetState BLANK
22:38:18 [Devil Square] (3) SetState BLANK
22:38:18 [Devil Square] (4) SetState BLANK
22:38:18 [Devil Square] (5) SetState BLANK
22:38:18 [Devil Square] (6) SetState BLANK
22:38:18 [Devil Square] (7) SetState BLANK
22:38:18 [Illusion Temple] (1) SetState BLANK
22:38:18 [Illusion Temple] (2) SetState BLANK
22:38:18 [Illusion Temple] (3) SetState BLANK
22:38:18 [Illusion Temple] (4) SetState BLANK
22:38:18 [Illusion Temple] (5) SetState BLANK
22:38:18 [Illusion Temple] (6) SetState BLANK
22:38:18 [ RAKLION ] State(0) -> END
22:38:18 [ RAKLION ] [ BossEggDelete ] : BossEgg(0 ea)
22:38:18 [ RAKLION ] [ DeleteSummonMonster ] Delete All SummonMonster
22:38:18 [ RAKLION ] [ BossEggRegen ] : BossEgg(0 ea)
22:38:23 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA FIRST
22:38:27 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:38:31 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:38:35 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:38:39 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:38:43 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:38:47 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:38:51 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:38:55 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:38:59 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:03 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:07 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:11 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:15 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:19 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:23 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:27 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:31 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:35 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:39 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:43 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:47 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:50 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:54 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:39:58 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:02 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:06 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:10 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:14 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:18 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:22 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:26 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:30 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:34 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:38 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:42 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:46 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:50 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:54 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:40:58 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:02 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:06 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:10 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:14 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:18 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:22 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:25 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:29 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:33 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:37 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:41 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:45 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:49 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:53 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:41:57 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:01 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:05 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:09 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
22:42:13 [CastleSiege] CCastleSiege::DataRequest() - REQUEST DATA AGAIN
